state_code,bill_number,legiscan_bill_id,decision,reviewed_by,reviewed_at,note
AR,HB1283,1944017,INCLUDED,claude-audit-2026-09-08c,2026-09-08T21:10:00,kept: K-12 library/digital media standards incl. AI (dead)
AZ,HB2409,2080458,INCLUDED,claude-audit-2026-09-08b,2026-09-08T19:40:00,kept: K-12 AI policy bill (title audit)
AZ,HB4005,2107900,INCLUDED,claude-audit-2026-09-08,2026-09-08T17:00:00,kept: K-12 AI policy bill (title audit)
AZ,HB4040,2109776,INCLUDED,claude-audit-2026-09-08,2026-09-08T17:00:00,kept: K-12 AI policy bill (title audit)
CA,AB1018,1978553,EXCLUDED,review_ui,2026-06-30T22:38:21,
CA,AB1064,1978599,INCLUDED,review_ui,2026-06-30T22:18:56,
CA,AB1159,1978694,INCLUDED,claude-audit-2026-09-08c,2026-09-08T21:10:00,kept: student personal information -- vendor/AI use of pupil data (enrolled 2026)
CA,AB1979,2117138,EXCLUDED,review_ui,2026-07-01T19:45:30,
CA,AB2058,1835452,EXCLUDED,review_ui,2026-07-01T13:38:55,
CA,AB2071,2119598,INCLUDED,claude-audit-2026-09-08c,2026-09-08T21:10:00,kept: digital wellness instruction incl. AI (enrolled 2026)
CA,AB2298,2120772,INCLUDED,claude-audit-2026-09-08c,2026-09-08T21:10:00,kept: CS content standards incl. AI (enrolled 2026)
CA,AB2452,2121529,INCLUDED,claude-audit-2026-09-08c,2026-09-08T21:10:00,kept: media literacy / instructional materials criteria incl. AI
CA,AB2487,2121564,INCLUDED,claude-audit-2026-09-08b,2026-09-08T19:40:00,"kept, VERIFY: 'education and workforce development' may be higher-ed/workforce; hearing canceled"
CA,AB2544,2121621,INCLUDED,claude-audit-2026-09-08c,2026-09-08T21:10:00,"kept, VERIFY: filmmaking education pilot with heavy AI-tool language"
CA,AB2652,1847401,INCLUDED,claude-audit-2026-09-08,2026-09-08T17:00:00,kept: K-12 AI policy bill (title audit)
CA,AB2876,1848424,INCLUDED,claude-audit-2026-09-08,2026-09-08T17:00:00,kept: K-12 AI policy bill (title audit)
CA,AB2930,1848478,EXCLUDED,review_ui,2026-06-30T22:20:17,
CA,AB3211,1849520,EXCLUDED,review_ui,2026-07-01T19:46:35,
CA,SB1235,1848536,INCLUDED,review_ui,2026-06-30T22:38:14,
CA,SB1248,2120921,EXCLUDED,review_ui,2026-07-01T21:23:03,
CA,SB1288,1848589,INCLUDED,review_ui,2026-06-30T22:19:40,
CA,SB430,1974540,EXCLUDED,review_ui,2026-06-30T22:38:25,
CA,SB539,1978772,EXCLUDED,claude-audit-2026-09-08c,2026-09-08T21:10:00,school facilities bill; AI incidental
